Uniq_ID,Upload_Id,Status,Company,Technology,Concept,Question,Difficulty Level,Suggested Answer,Module
5ac1f86f-5,5ac1f86f,Completed,Amedeus Labs,Ansible,Security,Ansible Vault secrets?,Medium,"Ansible Vault is a feature used to encrypt sensitive data, such as passwords, API keys, or private keys, within Ansible projects. It allows you to store encrypted files in version control systems securely. Users can encrypt individual files or variables using the `ansible-vault` command-line tool. To use these secrets during execution, Ansible prompts for a password or uses a password file/script to decrypt the data at runtime. This ensures that sensitive information is never exposed in plain text, maintaining security in automated workflows.",Ansible
5ac1f86f-3,5ac1f86f,Completed,Amedeus Labs,Ansible,Dynamic Inventory,Script for dynamic inventory?,Medium,"A dynamic inventory script is an executable (Python, Bash, etc.) that interacts with an external API�such as AWS, Azure, or VMware�to fetch current infrastructure details. Ansible executes the script, which must return a structured JSON object containing host groups and variables. This allows Ansible to automatically manage ephemeral cloud resources without manual inventory updates. By passing the '--list' flag, Ansible gathers all hosts; the '--host <hostname>' flag retrieves variables for specific nodes. This approach ensures automation reflects the real-time state of dynamic cloud environments.",Ansible
a0fa7a07-7,a0fa7a07,Completed,Amedeus Labs,Ansible,Concurrency,What are Ansible forks and how do you define them?,Medium,"Forks define the number of parallel processes Ansible uses to execute tasks on managed nodes simultaneously. By default, Ansible sets forks to 5, meaning it manages 5 hosts at once. Increasing this value speeds up execution in large environments by allowing more concurrent connections, provided the control node has sufficient CPU and RAM resources. You can define forks globally in the 'ansible.cfg' file under the '[defaults]' section using the 'forks' parameter, or override it during command execution using the '-f' or '--forks' flag.",Ansible
7ef0b449-11,7ef0b449,Completed,Mphasis,Ansible,Role vs Playbook,Ansible Role and Playbook,Easy,"A playbook is an execution entry point that defines what hosts to target and which tasks to run. A role is a modular, reusable directory structure for grouping tasks, variables, files, and templates. In production, use playbooks as the orchestration layer and roles to encapsulate configuration logic. Best practice: never include logic directly in a playbook. Instead, keep playbooks lean by calling roles. This promotes idempotency, allows sharing across repositories, and keeps your codebase maintainable. Use Ansible Galaxy roles for community standards, but always wrap them in local roles for environment-specific overrides.",Ansible
7ef0b449-1,7ef0b449,Completed,Mphasis,Ansible,Ansible Tower / AWX,Ansible Tower,Medium,"Ansible Tower (now AWX/Red Hat Ansible Automation Platform) provides a centralized control plane for enterprise automation. It manages inventory, credentials, and access control (RBAC). In production, I use it for API-driven automation, scheduled job templates, and workflow orchestration. Best practices include using external credential stores like HashiCorp Vault, leveraging Survey prompts to standardize inputs, and utilizing 'Callback Plugins' to stream logs to an ELK stack. It replaces ad-hoc command-line execution with audited, version-controlled workflows, ensuring that automation is repeatable, secure, and integrated into CI/CD pipelines via its REST API.",Ansible
7ef0b449-5,7ef0b449,Completed,Mphasis,Ansible,Configuration Management,Application Deployment Using Ansible,Medium,"In production, I use Ansible roles organized by application tier, leveraging dynamic inventory for cloud environments. I enforce idempotency by using built-in modules (e.g., template, service, git) rather than shell/command. Best practices include using Ansible Vault for secrets, maintaining state via check_mode, and ensuring CI/CD integration using an execution environment (EE) or AWX/Tower. For deployment, I use 'serial' for rolling updates to ensure zero downtime. I treat infrastructure as code by version-controlling playbooks and testing them in staging using Molecule to validate deployments before hitting production.",Ansible
7ef0b449-3,7ef0b449,Completed,Mphasis,Ansible,Automation Tasks,Automation Tasks in Ansible,Medium,"In production, I treat tasks as idempotent units of work. I prioritize the 'Ansible Way' by leveraging built-in modules over shell/command tasks to ensure state enforcement. For complex flows, I structure tasks using includes/imports to maintain readability and modularity. I strictly use 'become' for privilege escalation and implement 'notify' handlers to manage service restarts efficiently after configuration changes. When handling long-running or volatile tasks, I implement 'async' and 'poll' or 'wait_for' modules to prevent connection timeouts. Finally, I wrap sensitive data in Ansible Vault and use check mode (--check) to validate idempotency before deployment.",Ansible
d56e7fcc-10,d56e7fcc,Completed,Mphasis,Ansible,Ansible Vault,Does Ansible have mechanism to handle sensitive info,Easy,"Yes, Ansible handles sensitive information using Ansible Vault. It allows users to encrypt variables, files, or entire playbooks using AES-256 encryption. By storing encrypted data in the repository, secrets remain protected even if the source code is pushed to version control. Users can create, edit, and view these files using the 'ansible-vault' command-line tool. During execution, Ansible prompts for a password or uses a vault password file to decrypt the data securely at runtime, ensuring sensitive credentials like passwords and API keys are never exposed in plaintext.",Ansible
7ef0b449-6,7ef0b449,Completed,Mphasis,Ansible,Infrastructure as Code,Explain application deployment using Ansible from scratch.,Medium,"Deploying from scratch requires a structured layout. First, define an inventory file (static or dynamic) and group hosts. Create a 'site.yml' playbook as the entry point, utilizing roles for modularity. Use 'ansible-galaxy' to structure roles (tasks, vars, handlers, templates). In production, keep secrets encrypted via 'ansible-vault'. Use handlers for service restarts (e.g., Nginx) only on config changes. Always implement 'become: true' for privilege escalation and use check mode (--check) to validate changes before execution. Finally, integrate into CI/CD pipelines using immutable artifact references to ensure idempotency and repeatable deployments.",Ansible
5ac1f86f-2,5ac1f86f,Completed,Amedeus Labs,Ansible,Dynamic Inventory,How do you configure dynamic inventory?,Medium,"Dynamic inventory is configured by using inventory plugins or scripts that query external sources (e.g., AWS, Azure, GCP) to retrieve host lists at runtime. You enable this by creating a YAML configuration file (e.g., 'aws_ec2.yml') specifying the plugin type, authentication credentials, and desired filters. Once configured, you execute Ansible commands with the '-i' flag pointing to this file or the directory containing it. Ansible then dynamically fetches the latest instances, ensuring the inventory is always up-to-date without manual editing.",Ansible
d56e7fcc-14,d56e7fcc,Completed,Mphasis,Ansible,Configuration Drift,How do you detect manual changes in production config managed by Ansible,Medium,"To detect manual changes, run Ansible in check mode ('--check') or diff mode ('--diff'). This compares the current state of the production environment against the defined configuration without applying changes. Alternatively, implement an automated CI/CD pipeline that periodically executes 'ansible-playbook' in dry-run mode, triggering alerts if drift is detected. For robust monitoring, integrate tools like Ansible Semaphore or AWX/Tower which provide centralized scheduling and reporting. Additionally, restricting direct shell access to production servers via RBAC and using version control (Git) to enforce 'Infrastructure as Code' practices prevents unauthorized manual modifications.",Ansible
d56e7fcc-9,d56e7fcc,Completed,Mphasis,Ansible,Error Handling,How do you handle errors and exceptions in Ansible playbooks,Medium,"Use 'ignore_errors: yes' to proceed despite failures, or 'failed_when' to define custom failure conditions. Use 'block', 'rescue', and 'always' statements for comprehensive error handling, similar to try-catch-finally blocks. The 'any_errors_fatal: true' strategy stops all hosts if any task fails. Additionally, use 'check_mode' for safe testing and 'assert' modules to validate state before proceeding. These mechanisms ensure playbooks are resilient, idempotent, and capable of graceful recovery or notification when infrastructure drift or unexpected state changes occur.",Ansible
5bb60b1d-31,5bb60b1d,Completed,PwC,Ansible,Inventory Targeting,How do you make the above execute only on DB servers?,Easy,"Use inventory groups and limit flags. Define a 'db_servers' group in your inventory file. Execute the playbook using the '--limit db_servers' flag or define 'hosts: db_servers' directly in the playbook header. For more complex dynamic environments, use 'add_host' or 'group_by' modules based on facts like installed packages or filesystem paths. Avoid using 'delegate_to' for broad orchestration; instead, leverage native Ansible groups to ensure idempotency and precise targeting. Always verify the target list before execution using the '--list-hosts' flag to prevent unintended changes to application servers.",Ansible
d56e7fcc-6,d56e7fcc,Completed,Mphasis,Ansible,Security,How does Ansible ensure security during communication with target host,Medium,"Ansible ensures secure communication primarily by leveraging OpenSSH for transport. It uses SSH keys or passwords to authenticate with target hosts, ensuring encrypted transit via standard SSH protocols. Ansible does not require an agent on target nodes, reducing the attack surface. For sensitive data, it utilizes Ansible Vault, which provides AES-256 encryption for variables, passwords, and configuration files. Additionally, by using established SSH authentication mechanisms, Ansible integrates seamlessly with existing identity and access management infrastructure, maintaining secure, auditable, and encrypted remote execution without exposing management traffic.",Ansible
d56e7fcc-3,d56e7fcc,Completed,Mphasis,Ansible,Variable Precedence,How does variable precedence work in Ansible,Medium,"Ansible variable precedence defines how variables override each other when multiple sources are defined. Ansible applies a specific order of precedence, where later sources override earlier ones. The general order, from lowest to highest, starts with role defaults, followed by inventory variables, group variables, play variables, and finally task or extra vars (the highest priority). If multiple variables have the same name, the one with the highest precedence wins. Understanding this hierarchy is critical for managing configuration reliably, as it ensures the intended values are applied during playbook execution.",Ansible
d56e7fcc-7,d56e7fcc,Completed,Mphasis,Ansible,WinRM,"If target servers are Windows machines, how does Ansible communicate",Medium,"Ansible communicates with Windows target servers primarily using Windows Remote Management (WinRM). By default, Ansible utilizes the pywinrm library to send PowerShell commands over HTTP or HTTPS. For modern environments, Ansible also supports OpenSSH as a transport mechanism, allowing management via standard SSH protocols. To ensure successful execution, the Windows host must be configured with a listener service and appropriate authentication credentials, typically Kerberos, NTLM, or CredSSP, to allow remote command execution and configuration management.",Ansible
5bb60b1d-30,5bb60b1d,Completed,PwC,Ansible,Task Control,"In Ansible, you have 10 servers (5 Windows, 3 DB, 2 others), one playbook with 5 tasks, but you want to execute only 3 tasks. How do you do it?",Easy,"In production, I avoid manual task skipping via CLI flags like --start-at-task, as they are brittle. Instead, I implement 'tags' on the specific tasks. To execute only three, I would tag them (e.g., tags: ['deploy-app']) and run the playbook with the '--tags' flag. Alternatively, for complex logic, I use 'when' conditions based on group_vars or host_vars. Tags are the standard for ad-hoc selection, while conditional logic is preferred for permanent infrastructure-defined execution patterns.",Ansible
d56e7fcc-13,d56e7fcc,Completed,Mphasis,Ansible,Troubleshooting,"Large playbook fails in middle, how do you debug",Medium,"First, identify the failing task and host using the console output. Use '--start-at-task' to resume from the point of failure after correcting the issue. For deeper inspection, utilize '-vvv' for verbose logging or insert 'debug' modules to print variable states at runtime. If the failure is environment-related, use 'check_mode' to simulate changes or 'limit' to isolate the failing host. Ensure idempotency allows for safe reruns; if tasks are not idempotent, use 'block/rescue' structures or manual cleanup to revert partial states before executing the playbook again.",Ansible
79f66d47-31,79f66d47,Completed,Mphasis,Ansible,Configuration Management,Run shell script on 100 VMs,Easy,"The most efficient way to run a shell script on 100 VMs is using Ansible. First, create an inventory file listing all 100 VM IP addresses or hostnames. Next, use the 'script' module to execute your local shell script on the remote nodes simultaneously. The command syntax is: 'ansible all -i inventory_file -m script -a ""/path/to/local/script.sh""'. Ansible handles SSH connections, parallelism, and error reporting, allowing you to execute the script across the entire fleet in seconds without manually connecting to each machine.",Ansible
d56e7fcc-11,d56e7fcc,Completed,Mphasis,Ansible,Facts,What are Ansible facts and how are they used,Easy,"Ansible facts are system properties�such as IP addresses, OS versions, and hardware configurations�automatically gathered by the 'setup' module from managed nodes at the beginning of a playbook run. They are stored as variables and referenced using the 'ansible_facts' namespace. Users utilize facts to create dynamic, conditional task execution, allowing playbooks to adapt to the specific state of target machines without manual input. They facilitate infrastructure automation by enabling logic like 'install package X only if the OS is Ubuntu' or 'configure network interfaces based on discovered device names.'",Ansible
